, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
101, 15663.635093001363, 19563.909873374945, 15417.95438738017, 25090.10270658441, 36755.403379599775, 24027.244204695406, 80639.5398144777,
102, 15333.891787304547, 19891.904134329907, 15522.386744904758, 25019.047630340392, 37703.57174653137, 24610.857970061126, 80536.55158930211,
103, 17010.638274077435, 19438.516763069776, 15410.762782661379, 24721.97438620493, 39176.44984262446, 24125.021163559348, 81218.92511923844,
104, 15972.04527598605, 20568.031699371593, 15276.85789965241, 24932.911269520206, 39302.94200420881, 23722.94229645263, 81135.75568695753,
105, 16317.5913684012, 19775.983047344478, 15045.3428009325, 25158.493878480705, 36971.25707429882, 24884.986194909485, 79331.05270363796,
106, 16705.284886213467, 19980.04514845725, 15430.882116018747, 24818.714293927893, 38846.1729602758, 24799.757989035315, 81077.41121691404,
107, 17751.06011238534, 19827.848578349793, 15667.612048941077, 24515.820798939625, 40659.680390552756, 25605.527369887845, 80078.99363981668,
108, 15826.723476721276, 20171.47317572155, 14950.982867465991, 24806.82318739749, 42023.7129584037, 25136.854686542996, 81775.71457751244,
109, 16041.801852372013, 19729.394469114726, 15464.13690232259, 25257.286104688836, 40841.82639657355, 25234.89434853967, 81524.93261631986,
110, 18307.854490774233, 20568.543945456302, 15581.750673483493, 24785.072356984623, 43102.49601227203, 25044.776908722462, 82527.65590002222,
111, 19684.639722714033, 20457.751203852557, 15886.76404181877, 25356.826727746047, 41068.61796456673, 25116.45492535503, 83367.72427827313,
112, 18772.424962222023, 20977.16381098514, 15249.664334064004, 25112.220001527545, 43715.334561106574, 25336.03942889772, 82801.37863710392,
113, 19335.69076096925, 20421.711594584, 15459.682594470098, 24939.431438869255, 43271.45437979298, 25075.698228267745, 82677.82628613724,
114, 19449.454225997324, 20298.409101786536, 15297.146341028323, 24852.238376120247, 43084.55727439568, 25142.180304462694, 82602.15800702925,
115, 20463.842682729482, 19756.67337221205, 15278.623506832786, 24977.6048434933, 42780.9247150359, 24448.64824696705, 82176.52730357849,
116, 21106.003408126046, 20202.58493769816, 15478.179335389217, 24775.02663586681, 44115.86756030507, 25439.39772217247, 82125.51386924682,
117, 21917.118651381075, 20877.65663400046, 15400.222196830286, 25194.847408704463, 42914.30539761312, 25047.591681950442, 83065.01062506954,
118, 20337.03969690336, 20469.52950488349, 15156.495385457622, 25299.506474057525, 42512.06912758136, 25289.688332514743, 82113.98827513789,
119, 21441.165017054205, 20468.487153202463, 14988.899572687233, 25191.834056991695, 43066.378245701206, 25486.421833413166, 82487.18419427643,
120, 21497.941376740153, 20105.608088960642, 15359.843892914569, 24506.768604613295, 44497.68068790193, 24838.771346196714, 82699.77068072025,
