, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
190, 4.826889253700055, -8.975816540405436, -9.385471934006022, 5.422847242900842, 2.9746749979589766, 4.24831792248672, 8.889354615229392,
191, 4.601924284127674, -9.116212254488413, -9.405596257090314, 5.391804927099043, 2.8965737039847843, 4.21829117259552, 9.032259128825459,
192, 4.9350141029715555, -8.908250674968277, -9.382244054489707, 5.6583020869364695, 3.0554064373463743, 4.008836017186873, 9.022701780611143,
193, 4.714509155698794, -8.96686961582204, -9.435420738250272, 5.418800751374276, 3.5753257756080097, 4.479670189537298, 9.05067805258354,
194, 4.192191830936582, -9.083727184789335, -9.388242891769627, 5.7260290473228475, 3.9036019451768977, 4.556469723301936, 9.110485002734347,
195, 4.943437290354298, -9.097109656240091, -9.347125095517551, 5.28434012066365, 3.467703359781943, 4.583641820711588, 8.956192614929737,
196, 4.840543168265492, -8.933652979432875, -9.404185437884644, 5.544, 3.6126964031840187, 4.929332906044773, 8.952525374375693,
197, 5.160891867988641, -8.917094708369937, -9.391595334720625, 5.507724715902621, 3.6772743113252835, 4.249410628019324, 9.11310711089192,
198, 5.153614779321119, -8.711796502384738, -9.41160143612742, 5.295865893527222, 3.7784226211166883, 4.485705293844829, 9.044215127107051,
199, 4.355962934514525, -8.835641791777979, -9.381773358963684, 5.031853156647275, 3.6137884720179168, 4.474717907544082, 9.17608544769985,
200, 4.4924298208678675, -8.857971500734745, -9.418143255210703, 5.246445956160242, 4.2558067604726775, 4.676881118881119, 8.92483609284729,
